,Date,Deaths,Injuries,Description,City,State,Latitude,Longitude
92,2012-08-27,0,1,"15-year-old Robert Gladden, fired two shots with a shotgun inside the cafeteria at Perry Hall School. He hit a 17-year-old senior in the lower back, causing critical wounds. The youth has Down syndrome. Gladden was subdued by two school faculty members, and arrested. In February 2013, he was sentenced to thirty-five years in prison on attempted murder charges.",Perry Hall, Maryland,39.40139,-76.47889
93,2012-09-07,0,0,"A 14-year-old student fired multiple gunshots in a classroom ceiling at Normal Community High School, and was tackled by a teacher. Nobody was injured. The student was arrested and charged with sixteen felony counts.",Normal, Illinois,40.51222,-88.98861
94,2012-10-19,1,0,"18-year-old Banner Academy South student, Terrance Wright, was killed during an attempted robbery. Wright was approached by five would-be robbers as he left the school about 3:40 p.m.. He was shot in the chest as he fought back when one assailant was going through his pockets. Wright had been picked on at his previous high school because he was gay, which led him to transfer to Banner.",Chicago, Illinois,41.88194,-87.62778
95,2012-10-31,0,4,"At a Halloween party on the University of Southern California campus, an argument escalated and 20-year-old Brandon Spencer, used a handgun to shoot rival gang member, Geno Hall, seven times, critically wounding him. Spencer wounded three other people, none were students at USC, they were hospitalized with less serious injuries. Spencer was arrested just minutes after the shooting, which took place outside USC's Grand Ballroom at around 11:30 p.m. In April 2014, he was convicted of attempted murder and sentenced to forty years to life in prison.",Los Angeles, California,34.05,-118.25
96,2012-12-14,28,2,"Sandy Hook Elementary School shooting: 20-year-old Adam Lanza killed twenty-six people and himself. He first killed his mother at their shared home before taking four of her guns and driving to the school, where he killed 20 first-grade children aged six and seven along with six adults, including four teachers, the principal, and the school psychologist. Two other persons were injured. Lanza then killed himself as police arrived at the school.",Newtown, Connecticut,41.4,-73.283
97,2013-01-10,0,2,"16-year-old student, Bryan Oliver, entered a science classroom of Taft Union High School with a shotgun and opened fire, critically wounding 16-year-old student Bowe Cleveland. He shot at but missed another student. The classroom teacher Ryan Heber convinced Oliver, to drop his weapon. He was later arrested. On January 14, he was charged with two counts of attempted murder and assault with a firearm. He was convicted and accepted a plea deal with a sentence of 27 years and 4 months. According to the attorney for the Cleveland family, they were not satisfied with the sentence.",Taft, California,35.1425,-119.45639
98,2013-01-12,0,1,A 16-year-old Osborn High School student was shot and wounded after a basketball game.,Detroit, Michigan,42.33139,-83.04583
99,2013-01-15,0,2,"A 34-year-old gunman wounded an administrator in his office on the fourth floor of Stevens Institute of Business and Arts. The suspected gunman, Sean Johnson, a part-time student, wounded himself in a stairwell. Both the administrator and Johnson were hospitalized in stable conditions. Johnson was convicted of three felony charges, including assault and was sentenced to 60 years in prison.",St. Louis, Missouri,38.62722,-90.19778
100,2013-01-15,3,0,"Two people were killed and a third person was wounded at the parking lot of Hazard Community and Technical College. The third victim, 12-year-old Taylor Cornett, died from her wounds the next day. 21-year-old Dalton Lee Stidham, was arrested and charged with three counts of murder. He was sentenced to life in prison without parole in 2014.",Hazard, Kentucky,37.24861,-83.195
101,2013-01-16,1,0,"A 17-year-old boy, Tyrone Lawson, was killed in a parking lot of Chicago State University. The shooting happened after high school basketball games held on the campus, where Lawson had been a spectator. Police arrested two brothers, Michael McNabb, 33, and Brian Hewlett (under the alias Stephen Gilbert), 30 after the shooting and recovered a weapon.",Chicago, Illinois,41.88194,-87.62778
102,2013-01-22,0,3,"Lone Star College–North Harris shooting: Outside Lone Star College–North Harris, two men got into an argument. One wounded the other. He also wounded a maintenance man, and accidentally shot himself in the leg. The shooter fled into the woods and was arrested hours later. The charges against the initial suspect were dropped and another man was arrested.",Houston, Texas,29.76278,-95.38306
103,2013-01-31,0,2,"A 14-year-old male student was wounded at Price Middle School. The gunman, a 15-year-old student, was believed to be arguing with the other student before using a handgun to shoot him. A teacher was also wounded. Afterward, the gunman was disarmed by a school resource officer and arrested; police charged him with aggravated assault.",Atlanta, Georgia,33.755,-84.39
104,2013-03-18,1,0,"At the University of Central Florida, 30-year-old student James Oliver Seevakumaran pulled a fire alarm at the Tower One dormitory, to attract a crowd. He pointed a handgun at his roommate and threatened to shoot him in their room; he released the roommate, who ran out and called 9-1-1. Seevakumaran then fatally shot himself in the head. Authorities found an assault weapon, a couple hundred rounds of ammunition and four homemade bombs inside his backpack.",Orlando, Florida,28.54,-81.38
105,2013-04-12,0,2,"New River Community College shooting incident: Two women were wounded during a shooting at the campus of New River Community College. 18-year-old Neil Allen MacInnis, was taken into custody. In June 2014, he was sentenced to 38 years in prison.",Christiansburg, Virginia,37.14111,-80.40778
106,2013-04-16,0,3,Three students were injured on the campus of Grambling State University.,Grambling, Louisiana,32.5275,-92.71389
107,2013-04-18,1,0,"Three days after committing the Boston Marathon bombing, while still at large, the brothers Dzhokhar Tsarnaev and Tamerlan Tsarnaev shot and killed Massachusetts Institute of Technology campus police officer Sean Collier in his patrol car near MIT's Ray and Maria Stata Center. About three hours after the MIT shooting and after carjacking a vehicle, Tamerlan died in a gunfight with police in Watertown, Massachusetts. Another officer was seriously wounded. Shot in the neck and hiding in a boat parked nearby, Dzhokhar was arrested 18 hours later, and hospitalized in critical condition. He was sentenced to death in 2015.",Cambridge, Massachusetts,42.37361,-71.11056
108,2013-05-14,0,0,"Allegedly responding to a student fight, a mother of a student fired a weapon on the campus of Ossie Ware Mitchell Middle School. No one was injured.",Birmingham, Alabama,33.51861,-86.81028
109,2013-06-07,6,4,"2013 Santa Monica shooting: 23-year-old John Zawahri, began a killing spree at his home. After killing his 55-year-old father, Samir ""Sam"" Zawahri, and 25-year-old brother, Chris Zawahri, he set the house ablaze. Dressed all in black with body armor and wielding an AR-15-type semi-automatic rifle, Zawahri carjacked 41-year-old Laura Siska, shooting 50-year-old Debra Fine, as she attempted to intervene, before forcing Siska to drive to Santa Monica College. Upon arriving on the college campus, Zawahri began shooting at passing vehicles, including a police car and a city bus, leaving three people with minor injuries. Zawahri next targeted a Ford Explorer, killing the driver, 68-year-old campus groundskeeper, Carlos Navarro Franco, and fatally wounding the passenger, his 26-year-old daughter Marcela Diaz-Franco, a student at the college, who died two days later. 68-year-old Margarita Gomez, who was collecting cans outside the library, died after being shot in the abdomen and chest. Zawahri opened fire on students who were trying to run away. It ended at the college library where he opened fire on students studying for finals, before being fatally wounded in an exchange of gunfire with responding police officers.",Santa Monica, California,34.02194,-118.48139
110,2013-08-22,0,0,"A 5-year-old kindergarten student fired a handgun in his elementary school cafeteria. The Westside Elementary School student brought the gun to school in his backpack. While waiting for the opening bell in the cafeteria, the gun accidentally discharged one time inside the boy's backpack. There was no evidence of harmful intent and nobody was injured. To date, the boy is the youngest documented school shooter.",Memphis, Tennessee,35.1175,-89.97111
111,2013-08-23,1,2,"15-year-old student, Roderick Bobo, was killed during a football game at North Panola High School in what was termed a gang-related shooting. Two others were injured in the shooting. Three men were charged as being responsible for the crime.",Sardis, Mississippi,34.43556,-89.91667
112,2013-08-30,0,1,"A 15-year-old male student was shot at Carver High School, at 2:30 p.m.. He was hospitalized with minor injuries. An 18-year-old male student was apprehended without further incident. The suspected gunman is charged with assault with a deadly weapon inflicting serious injury, carrying a concealed gun, possessing and discharging a firearm, and carrying a firearm onto educational property. The shooting was believed related to a dispute between the suspect and the victim.",Winston-Salem, North Carolina,36.1027639,-80.2604917
113,2013-10-04,0,2,"A 16-year-old student was shot in the hip outside Agape Christian Academy after a fight broke out at 2 p.m.. An innocent bystander was hit by a stray bullet or shrapnel. The two victims were treated for minor injuries. The suspected shooter reportedly fled in a car with several other males, and was not caught.",Pine Hills, Florida,28.58167,-81.46944
114,2013-10-21,2,2,"12-year-old seventh-grade student Jose Reyes opened fire with a handgun at the basketball courts of Sparks Middle School, injuring one student in the shoulder. Michael Landsberry, a teacher and veteran, tried to intervene and was killed by Reyes. Reyes also wounded a student trying to help the teacher. Reyes then committed suicide by shooting himself in the head. The shooting happened before classes, and the school was evacuated and was closed for the week.",Sparks, Nevada,39.55444,-119.73556
115,2013-11-02,0,1,A 21-year-old student was wounded at North Carolina A&T State University. The victim was hospitalized for serious but non-life-threatening injuries. The university was temporarily locked down that night. No suspects are in custody.,Greensboro, North Carolina,36.08,-79.81944
116,2013-11-03,0,2,A Stephenson High School student and a janitor were shot in an apparent confrontation between football team members and a group of teens who were not attending the school. Both were innocent bystanders.,Lithonia, Georgia,33.71278,-84.10583
117,2013-11-13,0,3,"After classes ended, at least one gunman came out of the woods and opened fire on three students as they were walking to their cars at Brashear High School. One student was grazed in the head, another was struck in the neck and shoulder, and a third was hit in the leg and foot. Six people were taken into custody. The shooting is believed to be drug-related.",Pittsburgh, Pennsylvania,40.43972,-79.97639
118,2013-12-04,0,1,"A 15-year-old student was wounded by a 17-year-old student near a soccer field on the campus of West Orange High School. The shooting occurred after a fight broke out between the two students. The 17-year-old suspected shooter was taken into custody several miles away from the school, and is charged with attempted murder, aggravated battery with a firearm, possession of a firearm by a minor and possession of a firearm on school grounds. In October 2014, the shooter was sentenced to twenty-five years in prison.",Winter Garden, Florida,28.56028,-81.58417
119,2013-12-13,2,0,"18-year-old Karl Pierson, shot 17-year-old student Claire Davis in the head, fatally injuring her, in a hallway in Arapahoe High School. Pierson then took his own life. Pierson was armed with a shotgun, three Molotov cocktails, and a machete. His intention was to shoot the librarian who had disciplined him. Claire Davis died from her injuries on December 21, 2013.",Centennial, Colorado,39.590568,-104.869118
120,2013-12-19,0,1,"Four teens (16, 16, 16 and 17 years old) entered Edison High School in what was believed as a gang-initiation process. After accosting a 62-year-old woman about a mile away from school grounds, they found an athletic trainer who taught at Edison High and shot him several times in the leg and stomach.",Fresno, California,36.75,-119.767
121,2014-01-09,0,1,A 16-year-old student was charged with bringing a gun to school at Liberty Technology Magnet High School and shooting a classmate in the thigh. The incident occurred outside the front of the school.,Jackson, Tennessee,35.61444,-88.81389
122,2014-01-13,0,1,"A 14-year-old boy was shot outside of a basketball game at the Hillhouse High School athletic facility, suffering wounds in his hand and leg.[cite]",New Haven, Connecticut,41.31,-72.92361
123,2014-01-14,0,3,"Two people were wounded inside the gymnasium of Berrendo Middle School, at about 8:10 a.m.. An 11-year-old boy and a 13-year-old girl were airlifted to a hospital in Lubbock, Texas in critical condition. The 12-year-old suspected shooter, Mason Campbell, a seventh grade student, was apprehended at the scene after he was talked down by a staff member and dropped the shotgun. A staff member received minor injuries. Campbell was charged with three counts of aggravated battery with a deadly weapon. He was sentenced to a maximum sentence of confinement in a juvenile detention facility until he is twenty one years old.",Roswell, New Mexico,33.38722,-104.52806
124,2014-01-17,0,2,"A student allegedly shot two other students in the gymnasium at Delaware Valley Charter School. Both victims, a male and a female, were shot in the arm. They were taken to a nearby hospital and are in stable condition, police say. Police Commissioner Charles Ramsey said at a news conference that the shooter ran out of the school after the shooting but was taken into custody near his home. 17-year-old Raisheem Rochwell was arrested and charged as an adult for aggravated assault, recklessly endangering another person and firearms offenses. Rochwell was sentenced to two years of juvenile detention.",Philadelphia, Pennsylvania,39.95278,-75.16361
125,2014-01-20,0,1,One person was critically injured at Widener University. The incident occurred around 10 p.m. outside the university sport's complex and led to an 8-hour university lock-down. The suspect was not immediately found.,Chester, Pennsylvania,39.84722,-75.37278
126,2014-01-21,1,0,"A 21-year-old student, Andrew Boldt, was killed in a classroom building on the campus of Purdue University. 24-year-old student Cody Cousins was found guilty of the murder and was sentenced to sixty-five years of prison. In October 2014, Cousins committed suicide in his cell.",West Lafayette, Indiana,40.44194,-86.9125
127,2014-01-24,1,0,A 20-year-old student was killed at South Carolina State University. A 19-year-old was arrested and charged with murder.,Orangeburg, South Carolina,33.49694,-80.86222
128,2014-01-25,1,0,A man was killed at Los Angeles Valley College. Two suspects were arrested in the fatal shooting.,Los Angeles, California,34.05,-118.25
129,2014-01-27,0,1,A group of students at Rebound High School got in an argument in the school's parking lot. One student pulled out a gun and shot another student in the ensuing altercation. An 18-year-old suspect is facing charges of attempted murder.,Carbondale, Illinois,37.726,-89.22
130,2014-01-28,0,1,One student was shot in the leg in an apparent altercation over a gambling debt at Tennessee State University.,Nashville, Tennessee,36.16222,-86.77444
131,2014-01-30,0,1,Three students were fighting in a parking lot of Eastern Florida State College and one pulled out a gun and shot another of the students. All three students claimed self-defense.,Palm Bay, Florida,27.9979222,-80.6700083
132,2014-01-31,0,1,"After a basketball game at North High School, there was gunfire in a parking lot of the school. Six males in a black jeep had come moments before the shooting and returned at the time it happened. A 15-year-old girl was injured by a ricocheting bullet. While officers were gaining control of the area, teachers on the scene led students into the school building for safety.",Des Moines, Iowa,41.59083,-93.62083
133,2014-02-10,0,1,"A 16-year-old student was shot in the stomach on the campus of Salisbury High School during a dispute in the school gym. 17-year-old suspect was charged with assault with a deadly weapon with intent to kill inflicting serious injury, possession of a firearm on school property and discharging a weapon on school property.",Salisbury, North Carolina,35.66833,-80.47861
134,2014-02-10,0,0,"Five shots were fired in the parking lot of Charles F. Brush High School, including one which hit an unoccupied police car. No one was reported to be injured, though a school basketball game was going on at the time.",Lyndhurst, Ohio,41.52139,-81.49028
135,2014-02-12,0,1,A male victim was shot in the back in a possible gang-related drive-by shooting near the University of Southern California. The suspect fled into the University Campus. The victim was last reported in stable condition before being transported to a local hospital.,Los Angeles, California,34.05,-118.25
136,2014-02-22,0,1,"A shooting involving a campus police officer occurred at a Georgia Regents University dormitory complex. A male suspect entered a vehicle and nearly struck an officer, who opened fire. The suspect was taken to Georgia Regents Medical Center with injuries that were not believed to be critical.",Augusta, Georgia,33.467,-81.967
137,2014-03-25,0,0,"An argument between students led to shots being fired in a Benjamin Banneker High School parking lot during the afternoon. Investigators believe multiple people were present when shots were fired, but it was not known how many could face charges for the incident. No one was injured in the shooting.",College Park, Georgia,33.64833,-84.45611
138,2014-04-11,1,0,"After a Friday evening student awards ceremony called ""Grammy Night"", four men who were affiliated with a gang fired into a crowd in the parking lot of East English Village Preparatory Academy. One 19-year-old, Darryl Smith, was fatally shot in the head. Smith was not a student at the academy.",Detroit, Michigan,42.33139,-83.04583
139,2014-05-04,0,1,"Two men fired shots inside a dormitory at Paine College on Sunday, injuring one student in the head. Neither of the suspects were students at the college.",Augusta, Georgia,33.467,-81.967
140,2014-05-05,0,1,An active shooter situation was reported at Paine College on Monday with one person reported to be shot. The suspect was apparently apprehended and in custody. It was the second shooting incident to occur at the college campus in two days.,Augusta, Georgia,33.467,-81.967
141,2014-05-08,0,1,"A person was shot on a student parking lot roof at Georgia Gwinnett College, receiving an injury. The specific cause has not been identified.",Lawrenceville, Georgia,33.95306,-83.9925
142,2014-05-14,0,1,A 14-year-old student was injured during a drive-by shooting in front of John F. Kennedy High School at 8:30 a.m.. He was shot as he was running towards the school campus after a fight took place. The student suffered a serious but stable injury to his leg. Police are searching for a suspect.,Richmond, California,37.93583,-122.34778
143,2014-06-05,1,3,"19-year-old students, Paul Lee and Sarah Williams, and 24-year-old student, Thomas Fowler, were shot inside a hallway of Otto Miller Hall at Seattle Pacific University. Freshman Lee was rushed to Harborview Medical Center but later died. The shooter was subdued with pepper spray and tackled to the ground by student building monitor, Jon Meis, as he paused to reload his shotgun. 26-year-old Aaron Rey Ybarra was arrested at the scene and has been charged with premeditated and attempted murder.",Seattle, Washington,47.60972,-122.33306
144,2014-06-10,2,1,"At around 8:30 a.m. shots were fired at Reynolds High School. 14-year-old freshman Emilio Hoffman was killed, a physical education teacher was injured, and the gunman, 15-year-old Jared Padgett, exchanged gunfire with police officers and then committed suicide in a restroom stall.",Troutdale, Oregon,45.52944,-122.39167
145,2014-09-09,0,1,"Towards the end of the school day, one alternative school student in Miami was shot as a small group of students tussled. The injury was minor, requiring hospitalization, and five young adults were later questioned.",Miami, Florida,25.77528,-80.20889
146,2014-09-11,0,1,"An elementary school teacher with a concealed weapon permit had her gun fire accidentally in a faculty bathroom. The bullet shattered a toilet, and fragments of both the bullet and the porcelain injured her leg.",Taylorsville, Utah,40.655,-111.94944
147,2014-09-27,0,1,"A 20-year-old Indiana State University student was shot by another student on Saturday inside a residence hall. The injuries were not fatal, and a full recovery was expected. The shooter was arrested on the following day.",Terre Haute, Indiana,39.46972,-87.38972
148,2014-09-30,0,1,"Two students got in an argument at Albemarle High School around 7:30 a.m. on Tuesday, and one of the students shot the other twice including once in the leg. The student who committed the shooting was allegedly involved in a stabbing of a football player last year at West Montgomery High School, which is only 20 miles (32 km) away in Mount Gilead, North Carolina. The school had held an active shooter training over the summer, which prepared the school for this incident.",Albemarle, North Carolina,35.35833,-80.19528
149,2014-09-30,0,1,"One student was injured at Fern Creek Traditional High School. The incident occurred around 1 p.m., reportedly after student became enraged in a hallway and pulled out a gun. The student was arrested later that day.",Louisville, Kentucky,38.25611,-85.75139
150,2014-10-03,1,0,"After a homecoming football game, a fatal shooting of 17-year-old Kristofer Hunter, occurred in the Langston Hughes High School parking lot. The assailant, 18-year-old Eric Dana Johnson Jr., turned himself in a week later.",Fairburn, Georgia,33.5625,-84.58139
151,2014-10-24,5,1,"Marysville Pilchuck High School shooting. 15-year-old freshman, Jaylen Fryberg, shot five students in the school cafeteria of Marysville Pilchuck High School, fatally wounding four, before committing suicide.",Marysville, Washington,48.06278,-122.16333
152,2014-11-20,1,3,"At around 12:40 a.m. EST, a gunman opened fired in or near the Strozier Library at Florida State University. Three people suffered gunshot injuries and were taken to a local area hospital. One was in critical condition, another was in good condition, and the third was shortly released after treatment. The gunman, later identified as Myron May, an alumnus from the school, started firing towards responding police officers and was fatally shot by them on the steps of the library.",Tallahassee, Florida,30.455,-84.25333
153,2014-11-20,1,1,Two teens were shot during a fight at Miami Carol City High School. One of the boys died.,Miami, Florida,25.77528,-80.20889
154,2014-12-12,0,4,"Rosemary Anderson High School shooting: A gunman shot three students and a man outside Rosemary Anderson High School in north Portland. A 16-year-old girl was in critical condition, while the others suffered minor injuries. Two men, aged eighteen and twenty-two, were arrested in connection with the shooting.",Portland, Oregon,45.52,-122.68194
155,2015-01-15,0,3,"A 15-year-old boy, a student's father, and a teacher were each injured in the school parking lot at Wisconsin Lutheran High School. The student had unspecified injuries that were treated. The father was shot in the knee and the teacher was grazed in the toe. A 36-year-old man was charged in the shooting.",Milwaukee, Wisconsin,43.05,-87.95
156,2015-01-16,0,2,"Two were injured in gunfire that occurred after a Friday night basketball game. One was injured directly by a bullet, the other by ricocheting glass.",Ocala, Florida,29.18778,-82.13056
157,2015-02-04,0,2,"Two students were shot near the gymnasium of Frederick High School during a junior varsity (JV) boys' basketball game. Approximately two hundred students, staff, and faculty were placed on lockdown for several hours after the shooting while police searched for the suspects. Brandon Earl Tyler, 21, and Chandler Tristan Davenport, 19 were charged with the shooting.",Frederick, Maryland,39.41389,-77.41111
158,2015-02-14,1,0,16-year-old Benito Aguirre was found dead in the parking lot of Tenaya Middle School. The shooting was reported to have occurred after school hours.,Merced, California,37.3,-120.483
159,2015-02-23,0,3,"Two students argued outside the music building at Bethune-Cookman University when one pulled out a gun. Both had guns and it is not disclosed who did the shooting, injuring three students. A reward was offered to help solve this case.",Daytona Beach, Florida,29.19,-81.08944
160,2015-03-30,0,1,"Police said one person has been arrested for a shooting at Pershing Elementary School. The shooting occurred in the parking lot, with a 34-year-old-man being shot in the buttocks.",University City, Missouri,38.66389,-90.32778
161,2015-04-13,1,0,"A faculty member was killed with a rifle in the school library of Wayne Community College. The 20-year-old gunman, Kenneth Stancil, was arrested in Florida the next day. As of January 2017, Stancil, an admitted Neo-Nazi is being investigated for a hate crime. Stancil was later sentenced to life without parole for the murder.",Goldsboro, North Carolina,35.38194,-77.97806
162,2015-04-16,0,1,"A police officer was shot outside a school in a school zone while he was directing school buses into J.B. Martin Middle School, and the suspect was apprehended at the scene.",Paradis, Louisiana,29.87778,-90.43556
163,2015-05-12,0,2,"Police report that a 16-year-old shot five bullets into a school bus and injured two students. Apparently, there was an argument that touched on previous events.",Jacksonville, Florida,30.33694,-81.66139
164,2015-05-24,0,7,"In the early morning hours of Memorial Day weekend, a group of people were at Southwestern Classical Academy in the parking lot. Shots rang out and seven were injured, with two men being apprehended and charged.",Flint, Michigan,43.01889,-83.69333
165,2015-08-27,1,0,22-year-old student Christopher Starks was fatally shot in a student union building at Savannah State University. Justin Stephens was charged with the murder.,Savannah, Georgia,32.08111,-81.09111
166,2015-09-03,1,2,"A man was arguing with at least one other person escalated into a physical fight on the parking lot of Sacramento City College. A man opened fire, killing a 25-year-old student and wounding two others. The shooting suspects: Tevita Kaihea and Charlie Hola (both 19 years old) were not arrested for the shooting until December of that year and in 2018 Kaihea was sentenced to 112 years to life in prison and hola was sentenced to 49 years to life.",Sacramento, California,38.58167,-121.49444
167,2015-09-30,0,1,"A principal was shot in the arm and wounded at Harrisburg High School after an argument with a student. The suspect, 16-year-old Mason Buhl at the school, was taken into custody and was charged with first-degree attempted murder and sentenced to 25 years with 15 years suspended on supervised probation.",Harrisburg, South Dakota,43.42944,-96.69611
168,2015-10-01,10,9,"Umpqua Community College shooting: At around 10:40 a.m. PDT, a gunman, later identified as 26-year-old student Christopher Harper-Mercer, opened fire in a hall on the Umpqua Community College campus, killing eight students and one teacher, and injuring nine others. The gunman later committed suicide after engaging responding police officers in a brief gunfight.",Roseburg, Oregon,43.21806,-123.35611
169,2015-10-09,1,3,"Northern Arizona University shooting: One student died and three others were wounded in a shooting at Northern Arizona University. It is unclear what sparked the shooting, which took place near Mountain View Hall, a dormitory that houses most of the campus' students involved in Greek organizations. An 18-year-old student was arrested and charged with murder and aggravated assault.",Flagstaff, Arizona,35.19917,-111.63111
170,2015-10-09,1,1,One person died and another person was injured after someone opened fire outside a Texas Southern University dorm.,Houston, Texas,29.76278,-95.38306
171,2015-10-22,1,3,One person was killed and three others were wounded in a shooting at an outdoor courtyard at Tennessee State University. The shooting may have stemmed from an argument over a dice game. A suspect has not been identified or arrested.,Nashville, Tennessee,36.16222,-86.77444
172,2015-11-01,1,1,"One person died and another person was injured, after someone opened fire on the campus of Winston-Salem State University. A 21-year-old non-student suspect is sought.",Winston-Salem, North Carolina,36.1027639,-80.2604917
173,2015-11-20,1,0,A 16-year-old student was fatally shot during a fight after school hours that involved multiple people on the campus of Mojave High School.,North Las Vegas, Nevada,36.22861,-115.14667
174,2016-01-22,0,1,A 15-year-old male was shot in the leg and injured during a night-time basketball game at Lawrence Central High School.,Indianapolis, Indiana,39.76861,-86.15806
175,2016-01-29,0,0,"A gunshot was fired during a fight in a stairwell at Franklin High School, and no injuries were reported. Three people were detained.",Philadelphia, Pennsylvania,39.95278,-75.16361
176,2016-02-09,0,4,"Four people, including two students, were injured during a basketball game event in the parking lot of Muskegon Heights High School.",Muskegon Heights, Michigan,43.20111,-86.23889
177,2016-02-12,2,0,Two 15-year-old girls died in an apparent Murder-Suicide at Independence High School.,Glendale, Arizona,33.53861,-112.18639
178,2016-02-29,0,4,"15-year-old Cameron Smith, and 14-year-old Cooper Caffrey, were shot when 14-year-old James Austin Hancock, opened fire in the Madison High School cafeteria with a .380 caliber handgun. 15-year-old Brant Murray, and 14-year-old Katherine Douchette, also suffered shrapnel injuries. Hancock was apprehended in a nearby wooded field.",Middletown, Ohio,39.5,-84.383
179,2016-04-23,1,2,"Two students at a prom at Antigo High School were shot and injured by 18-year-old former student Jakob Wagner. Wagner later exchanged fire with a school resource officer in the school's parking lot, and was captured after being shot and wounded by police. He died hours later in a hospital.",Antigo, Wisconsin,45.14111,-89.15333
180,2016-06-01,3,0,"2016 UCLA shooting. Mainak Sarkar, age 38, a Ph.D. student, killed his former professor, William S. Klug, age 39, a professor of mechanical and aerospace engineering, in an engineering building at UCLA. Sarkar then killed himself. Sarkar, who lived in Minnesota, also killed his ex-wife, Ashley Hasti, age 31, in her Brooklyn Park, Minnesota home.",Los Angeles, California,34.05,-118.25
181,2016-06-08,1,3,One student was killed and three other individuals were injured when gunfire erupted outside of the Jeremiah Burke High School following a fire-alarm causing an evacuation of the school. Two suspects have been arrested.,Dorchester, Massachusetts,42.317,-71.05
182,2016-09-09,1,2,A 14-year-old female student shot a 16-year-old girl in an Alpine High School restroom before committing suicide. A police officer accidentally shot another officer during the incident.,Alpine, Texas,30.36083,-103.66556
183,2016-09-28,2,2,"Townville Elementary School shooting: Two students and one teacher were wounded after a teen opened fire at Townville Elementary School. The suspect's father was found dead at his home soon after the shooting. One of the victims, six-year-old Jacob Hall, died 3 days after the shooting.",Townville, South Carolina,34.56361,-82.89861
184,2016-10-11,0,1,"A student was shot in the abdomen and wounded at Vigor High School. The suspect, a 16-year-old boy, turned himself in and was charged with assault.",Mobile, Alabama,30.69444,-88.04306
185,2016-10-13,0,2,Two students were shot and wounded on the front lawn of Linden McKinley STEM Academy. One was shot in the shoulder and the other shot in the chest; both were hospitalized in stable condition.,Columbus, Ohio,39.96222,-83.00056
186,2016-10-18,0,4,"Four students were shot outside June Jordan High School for Equity, a San Francisco public high school. One female victim was in critical condition, while three male victims suffered minor injuries. Two people were arrested in the shooting.",San Francisco, California,37.7775,-122.41639
187,2016-10-25,0,1,Police say the two teens ages 14 and 16 were involved in a confrontation on the far north end of Union Middle School. The boys got into an argument. The argument lead to a shooting. The 14-year-old shot the 16-year-old twice. He was sent to the hospital in critical but stable condition.,Sandy, Utah,40.5725,-111.85972
188,2016-12-01,0,0,"At Mueller Park Junior High School, a 15-year-old student fired one shot into the ceiling and then pointed the weapon at his own neck. The student was confronted verbally by a teacher and another student and later arrested in possession of a shotgun, a handgun, and ammunition for each and was sentenced to spend time in a Juvenile Justice Services facility.",Bountiful, Utah,40.87972,-111.87167
189,2017-01-20,0,1,"A 17-year-old student was charged with attempted murder and other crimes after bringing a gun to West Liberty-Salem High School and firing two shots at a 17-year-old student in a bathroom with a shotgun. The victim was injured. The student ""also is accused of discharging the weapon in the school's hallway before returning to the bathroom, where he was eventually taken into custody.""",West Liberty, Ohio,40.25417,-83.7575
190,2017-01-20,0,1,A 34-year-old man was shot in Red Square at University of Washington while protesting the visit of controversial journalist Milo Yiannopoulos. The shooter turned himself in to the university police and was later questioned and released without being charged with a crime.,Seattle, Washington,47.60972,-122.33306
191,2017-01-27,1,0,"A 37-year-old Oswego man, named Matthew Lange, was shot at Scullen Middle School, which is a part of Indian Prairie School District 204 at about 7:30 PM. The school is located at 2815 Mistflower Lane, Naperville, Illinois. At the time of the shooting, there were two non-district organizations renting the building out. The victim was waiting to pick his son up from a weekly Polish culture class. He was shot in the head. He was killed through his car window. He was brought to Edward Hospital in Naperville. The City is still seeking answers for the shooters identity over three years later.",Naperville, Illinois,41.76389,-88.17111
192,2017-03-21,0,1,"An 18-year-old King City High School student was shot outside the school's auditorium. The gunman ran across the school's campus and baseball field, and fled the area. The school was then placed on lockdown. The victim was hospitalized with life-threatening injuries. A suspect was arrested in August 2017.",King City, California,36.21278,-121.12611
193,2017-04-10,3,1,"North Park Elementary School shooting: Cedric Anderson, age 53, of Riverside, California, died of a self-inflicted gunshot wound after shooting and killing his estranged wife, Karen Elaine Smith, age 53, in a classroom. An eight-year-old student was also fatally shot, and a seven-year-old student was injured.",San Bernardino, California,34.1,-117.3
194,2017-05-04,2,0,"North Lake College: Adrian Victor Torres killed a 20-year-old student, Janeera Nickol Gonzalez, whom he was stalking. He fatally shot her three times and the college went into lockdown before discovering that the suspect has died from a self-inflicted gunshot wound.",Irving, Texas,32.817,-96.95
195,2017-09-13,1,3,"Freeman High School: Three students were injured and one killed after a shooter opened fire. The suspect was armed with an AR-15 and a Pistol. He shot one student with the AR-15, but the gun jammed so he switched to his pistol. He killed one student after shooting him twice in the stomach and once in the head. He was stopped by a janitor. The suspect, a 15-year-old student, (Caleb Sharpe) was taken into police custody.",Rockford, Washington,47.45083,-117.13278
196,2017-09-20,0,1,"Mattoon High School: A 14-year-old male student was subdued by a female teacher when he attempted to open fire in the school cafeteria at 11:33 a.m. Multiple shots were fired in the process, and one student was struck in the chest and was driven to a nearby hospital suffering non-life-threatening wounds. The student was taken into custody without further incident.",Mattoon, Illinois,39.47889,-88.37306
